s_id;provider_id;lon;lat;alt;alt_dem;gss_id;genus;species;subspecies;phase_id;year;day;date;cult_season;license_short
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;60;1963;130;1963-05-10;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;69;1963;134;1963-05-14;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;65;1963;136;1963-05-16;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;60;1963;142;1963-05-22;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;69;1963;148;1963-05-28;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;60;1963;148;1963-05-28;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;65;1963;152;1963-06-01;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1963;153;1963-06-02;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;60;1963;154;1963-06-03;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;65;1963;155;1963-06-04;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;69;1963;159;1963-06-08;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;65;1963;160;1963-06-09;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;69;1963;164;1963-06-13;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;69;1963;169;1963-06-18;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;81;1963;267;1963-09-24;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;100;1963;272;1963-09-29;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;380;1963;282;1963-10-09;0;CC BY-NC 4.0
