feature,r2,slope,n,p,pheno_key
cell_div_vpd_max_lpf3_peak,0.11557031638475347,1.020024679133645,96,0.0007020772867318847,pome_fruit
tmax_mean_lpf14_peak_doy,0.11281719923513825,-0.08860046704431666,57,0.010638339378487141,apricot
vpd_mean_lpf3_peak_doy,0.11152393323209621,-0.007477428676486893,118,0.00021926938948815542,cherry
cell_div_vpd_max_lpf7_peak,0.10839574560783603,1.1902349765669753,96,0.0010551341564898123,pome_fruit
pre_flower_vpd_mean_lpf3_peak,0.10773733641295832,-0.9414108566035537,118,0.00028491411190320403,cherry
maturation_vpd_max_lpf14_peak,0.10681776071303138,-0.2818974626445709,354,2.9496875234295086e-10,olive
maturation_vpd_mean_lpf14_peak,0.10680242180068897,-0.30795313330752017,354,2.9588187244333263e-10,olive
pre_flower_vpd_max_lpf7_peak,0.10574248745224897,-1.0633006905527593,118,0.00032698943772570835,cherry
vpd_max_lpf3_peak_doy,0.10533265032872412,-0.04786273169173353,96,0.0012550290694065237,pome_fruit
flower_veraison_precip_mean_lpf3_peak,0.10495587315946187,-0.18719058812452927,386,6.982399816450284e-11,vine
et0_mean_lpf7_peak_doy,0.10491348013320877,-0.05083802475858712,386,7.047545132401142e-11,vine
tmax_mean_lpf3_peak_doy,0.10421245678399375,-0.052412476356465565,96,0.0013371578712653078,pome_fruit
tmax_mean_lpf14_peak_doy,0.10290636899103876,-0.11395517518510288,96,0.0014396718391245973,pome_fruit
maturation_vpd_mean_lpf3_peak,0.10230167190985195,-0.10097275345899327,96,0.00148974038067019,hazelnut
maturation_precip_mean_lpf14_peak,0.10104405116931664,0.0449692660132525,96,0.0015994750754004363,hazelnut
cell_div_vpd_mean_lpf3_peak,0.10075604732545182,1.0295388216917332,96,0.0016257138219417243,pome_fruit
vpd_mean_lpf30_peak_doy,0.10060788277330081,-0.006126961915753026,96,0.0016393785384513117,hazelnut
fruit_set_tmax_mean_lpf3_peak,0.09810647607735795,-0.06314455347065048,354,1.695155233294736e-09,olive
cell_div_vpd_max_lpf14_peak,0.09759797717358086,1.3869374989414847,96,0.0019430483449164036,pome_fruit
fruit_dev_precip_mean_lpf7_peak,0.09721547649317303,-0.0802301125088891,118,0.0005882204188858218,cherry
cell_div_vpd_mean_lpf7_peak,0.09665967170945179,1.2236870106645126,96,0.0020486876396421314,pome_fruit
vpd_max_lpf7_peak_doy,0.09608693913904166,-0.039360145408407446,57,0.018947430265393306,apricot
fruit_dev_precip_mean_lpf3_peak,0.09529272266135085,-0.05226560580128411,118,0.000671276075003048,cherry
cell_div_tmax_mean_lpf3_peak,0.09496454588522668,0.30239058515099165,96,0.0022542169682309957,pome_fruit
pre_flower_vpd_mean_lpf14_peak,0.0934264789959494,-1.3476050203634444,118,0.0007630144122121569,cherry
tmax_mean_lpf3_peak_doy,0.09307187441356936,-0.047799555624865875,52,0.027864976479840844,other
fill_tmax_mean_lpf3_peak,0.09231688732153044,0.037555140755740485,96,0.002617015555108929,hazelnut
fruit_set_tmax_mean_lpf7_peak,0.09178094069271367,-0.06422072207917148,354,5.986013394987404e-09,olive
pre_flower_tmax_mean_lpf7_peak,0.09056480486280938,-0.10257468634998146,118,0.0009284540538285371,cherry
tmax_mean_lpf3_peak_doy,0.08906962708101844,-0.03887023526238695,57,0.024136226817690874,apricot
fill_vpd_max_lpf3_peak,0.08803376606741403,0.08618075671172956,96,0.003330914204321838,hazelnut
pre_flower_vpd_max_lpf3_peak,0.08768964810137031,4.071988263992446,143,0.00032949157171294,stone_fruit
cell_div_vpd_mean_lpf14_peak,0.08745363950975495,1.4327939102154208,96,0.003441482089402018,pome_fruit
vpd_mean_lpf7_peak_doy,0.08691816143644077,-0.04596267505297617,96,0.003546785288519002,pome_fruit
vpd_mean_lpf7_peak_doy,0.08593226973270493,-0.03683021219206892,57,0.026897156458013976,apricot
maturation_vpd_mean_lpf7_peak,0.08527828638355539,-0.10737355077828391,96,0.003889683000661862,hazelnut
flower_veraison_et0_mean_lpf30_peak,0.08489441795754221,0.9643223742751665,386,5.446787039319822e-09,vine
vpd_mean_lpf14_peak_doy,0.0848605602637448,-0.053065341211484915,52,0.03614705594080842,other
pre_flower_vpd_max_lpf7_peak,0.08473670487879856,4.800088778114695,143,0.00042006318107041857,stone_fruit
cell_div_tmax_mean_lpf7_peak,0.084075846800002,0.318892791300077,96,0.00416195441988537,pome_fruit
cell_div_vpd_max_lpf30_peak,0.08396775451080551,1.7303097171398063,96,0.004187342782300488,pome_fruit
pre_flower_vpd_max_lpf30_peak,0.08367602500049447,7.266127065889439,143,0.0004583220541200575,stone_fruit
vpd_mean_lpf30_peak_doy,0.08316513384991711,-0.08744269471984613,96,0.00438076018308537,pome_fruit
vpd_max_lpf30_peak_doy,0.0793823095513883,-0.005599632914038319,96,0.005419594155475353,hazelnut
et0_mean_lpf14_peak_doy,0.07809452216108069,-0.04979497311337121,386,2.3473166417359214e-08,vine
precip_mean_lpf7_peak_doy,0.07790719912471136,0.0006728905349330977,96,0.00588849562910831,hazelnut
fruit_set_tmax_mean_lpf14_peak,0.07748081258156528,-0.05969145748477779,354,1.0136419991467942e-07,olive
pre_flower_vpd_max_lpf14_peak,0.07746155399891766,5.31048804313747,143,0.0007633361682666929,stone_fruit
pre_flower_vpd_mean_lpf7_peak,0.07675419961198313,-1.022507658613842,118,0.002388427660930105,cherry
vpd_mean_lpf3_peak_doy,0.07597767980416556,-0.042469526643398266,96,0.006563684096801144,pome_fruit
cell_div_vpd_mean_lpf30_peak,0.07579493106925758,1.7901986652287907,96,0.0066315204157848945,pome_fruit
vpd_max_lpf3_peak_doy,0.07478609523712837,-0.02993245325328222,57,0.03955823399712781,apricot
maturation_precip_mean_lpf7_peak,0.07393054464674062,0.024396802853573516,96,0.007365034306105196,hazelnut
vpd_max_lpf7_peak_doy,0.07372146841204681,-0.007029786618356389,191,0.00014502824768118053,walnut
