comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,climate_method,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip
Garrotxa,2019,Olivera per a oliva d'oli,olive,olive,4.0,2.0,centroid,1.566095860593484,3.1834076276364462,13.0,259.3961736493641,21.97119914404032,10.67432836869595,280.63221843747635,2.0854352263684146,2.845029429066763,41.0,277.40178743998206,28.134910085808013,17.27468223435052,211.07111304708653,1.1181159135553336,2.039309783725636,4.0,171.75889194011688,18.830632479228694,9.128796669909972,498.6544437102146
Garrotxa,2020,Olivera per a oliva d'oli,olive,olive,4.0,1.54,centroid,1.3166377195199304,2.0666792151343207,4.0,227.7663659652074,21.906030996075984,12.013723860499226,425.8811087691121,1.9076287735917008,2.81408012969493,22.0,269.41457890139685,27.32157566521759,16.86860746431524,341.03000031804885,1.064672292692923,1.934350162176432,4.0,166.80584673749073,18.23828557984444,8.552881679139025,421.5666687633428
Garrotxa,2021,Olivera per a oliva d'oli,olive,olive,5.0,1.2,centroid,1.352037420134121,2.2295902957507834,8.0,234.9382608334224,21.68229178895936,11.658932278325672,360.671114479916,1.837838244003688,2.9196286409433374,22.0,259.5147561497159,26.593379107512902,16.383358939659658,265.98222308709387,1.0652499795311292,1.79403939539668,1.0,167.87021697560948,18.32304865612363,9.31699872325485,377.5822238824848
Garrotxa,2022,Olivera per a oliva d'oli,olive,olive,5.0,1.2,centroid,1.9129870667992743,3.0228470507569845,25.0,288.20400416851044,25.243836961200785,13.630739094607408,173.0377764645964,2.4831825304369386,3.514427891085099,50.0,294.7097289827135,29.74663209539163,17.85357936189169,206.3011092785746,1.2801410745532025,2.1336402114604835,6.0,186.0903634097841,20.4882763016064,10.768098943428557,253.86444210240413
Garrotxa,2023,Olivera per a oliva d'oli,olive,olive,1.0,0.7,centroid,1.4804030016475536,2.2546836515089868,7.0,245.90067768096927,22.44063898583364,11.996700499487728,360.6988905759321,2.152709840911236,3.5147435305197745,36.0,282.00209196408593,28.47210350993716,17.763322804221993,291.4922210431347,1.2905043430512533,2.1247076490263965,9.0,195.3465232054392,20.61986135405937,10.870931444179757,243.15889061014687
Garrotxa,2024,Olivera per a oliva d'oli,olive,olive,1.0,1.596,centroid,1.254541094282734,1.951392019769727,2.0,228.96767131487528,20.981550550895115,11.64248402635476,532.8588894150323,2.249326119966925,3.3323414728669456,44.0,290.5160521666209,28.810031051362312,17.666057758946597,160.21111140917571,1.0089552439944411,1.9217762563240235,4.0,164.82062652375967,18.695973050929123,10.494245860340854,352.507777714067
Gironès,2016,Olivera per a oliva d'oli,olive,olive,35.0,1.314,centroid,1.5009182084770425,2.5251057162633948,14.0,256.3433242241542,23.44428655905804,13.678820734076185,158.07333318516612,2.583876780842169,3.419502074174716,55.0,328.92098474502563,30.195625518470703,19.226949187248003,76.07500025940438,1.2783535595595883,2.670613611028444,15.0,199.5885238945484,21.40694462702827,12.54125131460339,255.70500065417332
Gironès,2017,Olivera per a oliva d'oli,olive,olive,23.0,1.075,centroid,2.0078449577115447,3.351228800168064,27.0,300.72506503264106,26.46365546554817,15.560601556496565,87.71833371991913,2.165840893464861,3.172890821193486,36.0,309.0159369309743,29.34420494161629,19.70860082154635,97.88666632864626,1.1720593542194582,1.724367157719616,1.0,185.66959081093472,20.67568571768404,11.185355039044635,193.724999112698
Gironès,2018,Olivera per a oliva d'oli,olive,olive,38.0,1.075,centroid,1.6496713423702638,2.7565759061085124,17.0,267.59496959050495,24.466428396089505,14.8522569666795,181.01000030680248,2.53425019223806,3.7796612996283634,49.0,310.77924319108325,30.782548440912738,20.173423570202264,130.76666635461152,1.1292656410722202,2.179460593477941,7.0,192.5800966024399,21.16621146289422,12.923953928964938,381.7216682027404
Gironès,2019,Olivera per a oliva d'oli,olive,olive,39.0,1.275,centroid,1.8233018464630653,3.692337075459012,18.0,293.7879757285118,24.185836108265047,13.317941200798348,133.66500033003587,2.430540676135828,3.205020120653596,48.0,318.9320281346639,30.49820681336108,20.20342997889368,106.32833440788092,1.1923697912878028,2.2511750169340687,8.0,196.7713196277618,20.974761616354044,12.069214694403929,400.2633337480947
