comarca,year,pheno_key,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Alt Penedès,2021,olive,295.0631975101286,89.89847701821273,2.9489634235634985,23.526337618621245,13.862079573184712,1.670429799372187,11,315.72704255979073,81.37470659824706,3.145359516662139,28.380451308511052,18.36129480243808,2.1380389455653166,35,204.0517998178922,306.40084939203683,1.7923096161513308,19.689905462552566,11.833398206088985,1.0527737254547465,0
Alt Penedès,2022,olive,334.308304686993,81.63236525509302,3.495377620375135,26.238293039215918,15.06825458205536,2.1303683242989147,32,352.8534125421932,175.10638623726126,3.7527676678132984,30.69414071585386,19.500120610116557,2.6538522900197985,46,215.9658007542948,201.14971037938378,1.820731366085721,21.362154564652506,13.066766020818827,1.1602223620452454,0
Alt Penedès,2023,olive,279.82519965250333,151.7074898790055,2.331274198364267,23.7125462552582,14.144151032874147,1.5774623418602063,10,331.21349436415505,102.73401704714875,3.573281550215904,29.618306402970475,19.625717036513723,2.283497596300154,39,263.907950864518,113.07112878989601,2.2626057395941284,22.222879684668897,13.253183814433632,1.4278522855665134,13
Alt Penedès,2024,olive,280.0135363136362,145.7708038453129,2.214892459826354,22.49072468041937,13.83961901388099,1.4271115365774472,5,319.92545737712146,91.13122101833055,3.40314558946359,29.020083099616222,19.203495289328906,2.1392147557522874,30,206.670546093043,331.7896653925917,1.9886625869120784,20.05760481484703,12.597033755172967,1.041932775178739,3
Alt Urgell,2016,olive,242.71942114830017,155.86000260524452,2.4076367170687334,20.018647705409144,9.346738685813861,1.4027953926571677,8,273.5091972351074,120.26999958790839,2.7603426208943147,26.01682676945326,14.322115761073729,1.9971823399498898,33,162.11048969626427,271.5699998382479,2.2667105855395717,17.330798168911294,7.406453592589177,1.1172527603400102,5
Alt Urgell,2017,olive,254.63119792938232,119.8400017824024,2.8530100645866576,22.059845935589728,10.861294570003155,1.6150678069836133,16,290.9787058830261,90.81000058725476,3.203274197431724,27.049661222420756,15.22126894750266,2.2837460977117323,44,176.89531874656677,115.29999895393848,1.90018004882393,17.58122742715305,6.43190357595542,1.2360092307478836,1
Alt Urgell,2018,olive,217.9390308856964,296.46999929100275,1.8697337428416831,19.429367279884044,9.862873479454999,1.1806610505730197,1,258.54522013664246,164.76000102236867,2.6185221057028136,25.579254905478965,14.44163539470528,1.8442340474563343,20,162.999368339777,365.310001546517,1.9549517058439618,17.00857077472345,7.508389010686704,1.0460647968324575,4
Alt Urgell,2019,olive,254.70461285114288,130.04000044241548,3.31081087187368,20.291590420412987,9.094296278987528,1.575170430927018,13,278.82237815856934,151.6799996085465,3.067811187147405,26.381219942178824,14.862807998189403,2.0824150267642647,33,174.8240007162094,227.45000039227307,2.1211520580125205,16.97532740676328,6.708002477054321,1.1521008837444984,8
Alt Urgell,2020,olive,222.51490938663483,335.66000376082957,1.9462017727167862,19.829378186166064,10.130622703007766,1.2149687161454366,3,270.2464864253998,183.8200023304671,2.6853403546752213,25.40791199422015,14.319154079338597,1.8789732919731021,24,157.18900734186172,207.7999977618456,1.6288199780001391,15.962097533609095,6.1825400854420245,0.9837675862054807,0
Alt Urgell,2021,olive,229.48886394500732,164.5999993532896,1.9724598656729546,19.26505463580105,9.272703541570776,1.2390138642895858,4,276.861204624176,121.65999853052199,3.107452363512059,25.471427442021305,14.428675760601198,1.9923020169856318,25,160.54427194595337,244.50000035203993,1.667021260350705,16.344720220980314,6.955426592245769,1.0164708488517842,0
Alt Urgell,2022,olive,278.65172934532166,122.59999933093786,3.350775992504637,23.39913686716632,11.349465256318473,1.926119961236458,23,295.48139572143555,155.58000007271767,3.566097491155964,27.932457479193683,15.46987252219394,2.434597152391947,48,172.75126945972443,199.48000191152096,1.81731293372847,18.067561923955076,8.400778329131931,1.155592050781823,1
Alt Urgell,2023,olive,229.71545600891113,236.32999893464148,2.2238009318163985,20.270101542819493,10.088703557579999,1.4037260396812952,8,290.1098518371582,156.43999957479537,3.4687448235503666,27.022663010160166,15.666754216372366,2.22079812416439,36,182.6653509736061,153.93999911099672,2.2229984889320358,18.537608753346387,8.58882731018018,1.2489625542327818,13
Alt Urgell,2024,olive,229.23773050308228,251.00000022538006,1.9568229721357444,19.000379683028253,9.612719890988043,1.2173388235711793,3,286.64058470726013,120.7999980635941,3.3432007021702836,26.982733220278618,15.444903728878668,2.1955637237550016,38,155.20179951190948,351.12000040896237,1.785726577194151,16.435472455806035,7.722421529681382,0.9552666485239241,2
Anoia,2016,olive,293.97618614464636,83.12999896332622,2.6900983401298495,24.34340585589687,13.289481556338265,1.8254068905707062,22,324.2758095368896,78.33000102825463,3.2370307467227346,29.910857503683918,18.43229374305822,2.4368381412923985,48,194.69017908002866,265.6499967034906,2.625051259306061,21.03431095835796,11.380471266013151,1.2491532527022067,10
Anoia,2017,olive,323.93248388376793,65.55999877862632,3.8256357106017407,26.980149561467204,14.962223604291559,2.2924055095115836,37,335.81645418314946,104.99999973364174,3.621466640480977,30.64093411162625,19.44885468990022,2.581964014192606,54,197.32652912500495,158.70999991707504,1.9620413451366268,20.683003799983187,10.345667761764277,1.2389961360776631,4
Anoia,2018,olive,266.10170737923454,219.3800003863871,2.6275949614090033,23.92337761976129,13.967662833362223,1.5875422649454802,12,308.4792644852701,201.9299983344972,3.718238687967088,30.30739706469373,19.276652375559472,2.4435376986004287,41,188.93292257467903,402.1699977386743,2.0736512075494704,20.547364541048598,11.483194382357501,1.1253158711773923,7
Anoia,2019,olive,305.44919201511175,93.43000051006675,4.092950927882629,24.60027106533919,12.913186886082952,2.03930852632353,24,318.35694155994867,141.09000052325428,3.5333740088877748,30.393995027289343,19.112260026355887,2.477172001972314,49,214.6353152629061,271.3600043915212,2.314186563165622,20.7556885180305,11.042950253624346,1.2847444624224584,12
Anoia,2020,olive,269.0353240441646,167.21000059135258,2.236979342826957,24.080146090185107,14.001709973817787,1.5697405213333149,8,311.90676557072163,114.46999922581017,3.430414344730601,29.640548330255353,18.787432036992264,2.320198848144937,40,201.76033239293082,231.75999710708857,2.008179387133639,19.991725395475832,10.187713102547876,1.188073120023526,5
Anoia,2021,olive,292.1433698495477,98.78000042028725,3.2831061578995735,24.543181705148797,13.910711647531246,1.8584416590084043,20,319.6542401503328,90.27999980933964,3.8626071742725516,29.78528839497977,18.761627174259555,2.5146028419882205,48,193.3276144017648,289.85000120289624,1.9387757759358248,20.114896483342722,11.080763699650891,1.1592168187934646,2
Anoia,2022,olive,335.62337908616985,89.26999759115279,4.233239527514841,27.748088626655957,15.429146075843164,2.4846259490744798,45,346.40817813505066,197.32999743521214,4.244063563140578,31.889727308172503,19.771409063406463,2.983543482222226,54,204.72096775419558,221.24999910779297,1.970769888306807,21.76097316938724,12.412508042126362,1.2656240428423575,4
Anoia,2023,olive,274.2346952260706,194.3800005801022,2.457045902926159,24.495029732391504,14.11939768037608,1.7171581322150338,18,333.3336753638254,119.98999932035804,4.343267627924999,30.977290893335567,19.94189172928857,2.6672212850191763,51,247.78852783560876,112.15999999456108,2.692546723516353,22.79019555990322,12.740931781986296,1.5767561447786889,26
Anoia,2024,olive,278.609278442752,169.27000003308058,2.5802048115123704,23.568133137630834,13.866400602427197,1.6214601048330237,11,323.13011681129706,113.0300007853657,4.193684806448387,30.582165359978497,19.53360687851377,2.5479186266996483,43,198.40748228276271,311.41999822854996,2.145436829657254,20.571593846547987,11.905373822285341,1.1619085767306596,6
Baix Camp,2016,olive,309.71002546087334,29.566337594833776,2.448831399277362,23.49177411043822,14.87470226153742,1.5784494729015845,13,331.4346035336175,23.879747955516848,2.7543870885611064,28.631295490636074,20.161896906091865,1.998248605049089,28,224.23725629412755,227.34141939713146,2.201942688302059,21.352711918711687,14.315143522855246,1.1407074163093331,7
Baix Camp,2017,olive,318.61596023297193,33.348612916381654,2.5980924449777123,25.112767028099487,16.481372684442395,1.7210402916329324,17,332.6706320611508,39.21106324736562,2.903668111230618,28.86071968984788,20.687056522269117,1.9691625350381587,22,257.8742831589835,92.71989697202326,2.337524849721007,21.555887381905293,13.043409927812675,1.333258399861898,10
Baix Camp,2018,olive,291.4362180082493,86.21722072683914,2.4268415709768516,23.654496023466926,15.504751007160486,1.487597776242846,11,321.8768932051524,109.14683873740174,3.0961274978850364,29.321252126584664,21.01235786378819,2.016743592824118,30,226.29457228614905,307.0583216748208,2.088065590463885,21.073674404181688,14.113074660261939,1.0985956125262049,5
