comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Conca de Barberà,2016,Olivera per a oliva d'oli,olive,olive,793.0,1.6,304.7072854794803,50.26000086963177,2.552664388353075,22.949699234498997,12.086068834477445,1.7167359338284212,15,338.8019372562169,34.169999696314335,2.997250108288094,28.919726401905365,17.296968006973213,2.406080491073226,54,198.1095289885805,209.1200024560094,2.5274622010701746,19.59945341399533,11.102796127043502,1.12509904314754,8
Garrigues,2016,Olivera per a oliva d'oli,olive,olive,16268.0,0.82,346.00864361260125,49.14064987433152,3.188932271965733,25.018616306594964,13.283945690536592,2.1248315527659702,36,391.5915854873089,16.60503190847041,3.797002629008206,31.34105003501291,18.47694397028749,3.0699185978678964,61,225.8256970802898,182.87158460191125,3.1730787340262823,20.9538647099536,11.612846173946307,1.366749603114158,17
Montsià,2016,Olivera per a oliva d'oli,olive,olive,12950.0,1.3,310.8210050194363,65.4377991575258,2.6528413871837846,24.17910786506673,14.410378583282707,1.7844620827001365,21,336.70203460862314,22.338182442553048,3.105421994076427,29.71506601945891,19.390701763576946,2.4445216492516666,52,216.2724068796411,236.36147099551803,2.657047542094972,21.58497023965378,13.503393465475206,1.2902031194134187,9
Noguera,2016,Olivera per a oliva d'oli,olive,olive,1579.0,0.84,336.4470939978518,82.48428194283358,3.796932051421907,26.042669997899,13.831939965899052,2.348616080229873,43,378.4226126577348,29.20688997502527,4.307966197447041,32.7375209614391,19.750818628308277,3.485960452903074,61,212.9597547683208,255.9842387764917,3.457476706287795,21.039332561209484,11.5533449411709,1.4534378148746003,22
Pallars Jussà,2016,Olivera per a oliva d'oli,olive,olive,666.0,0.81,266.5354838207343,135.12272084230003,2.941086035814368,22.54431103244392,10.613281082877965,1.7483868456827891,16,301.91797615977225,62.26826322349772,3.491487337081043,28.955938842712197,15.997510496011882,2.6096698580787763,56,169.31352368193814,279.712104334498,2.6405271425688044,18.912905841616634,8.495081066572425,1.2716085621007711,8
Pla d'Urgell,2016,Olivera per a oliva d'oli,olive,olive,32.0,0.75,358.87521743774414,58.09999932721257,3.994859730304548,27.333343117508143,14.052298735944351,2.6034168568231464,48,397.04076194763184,22.72999981790781,4.538286796226638,33.814951088215395,19.627822713561923,3.740356777919612,62,228.3413372039795,199.0600009560585,3.770591608454843,22.293855306594985,11.736802861969297,1.6073205783646234,25
Priorat,2016,Olivera per a oliva d'oli,olive,olive,1717.0,1.5,336.94901622435543,45.19786226544817,3.031928323611073,24.858858227601665,13.42720979026782,2.0438590653801585,35,377.47905282758177,14.88675493279604,3.611930919985525,30.8613670186759,18.649565037937226,2.866695951333258,59,221.38233166352637,194.36615642625893,3.034246824128745,21.14517674176911,11.89519839554618,1.3358276531383055,13
Ribera d'Ebre,2016,Olivera per a oliva d'oli,olive,olive,5489.0,1.3,348.9910872233808,47.014096482627416,3.35888738494866,26.15109100451753,14.47648151082369,2.243864626674725,42,390.0268429024064,14.469345905408204,4.014258751966634,32.17623617482256,19.646048773809053,3.15178606348467,61,233.37989150606705,197.49122077879383,3.36607358687136,22.24693573458346,12.918970246846596,1.4846980398845486,17
Segrià,2016,Olivera per a oliva d'oli,olive,olive,8851.0,0.76,357.6186412310831,46.186938116543786,3.4184223179346245,26.030261654310824,13.978263306787884,2.256513655329198,41,408.0058534671198,10.036796724156218,4.084897267978554,32.3985487133295,19.13887197691444,3.280227417528001,61,232.5932031763928,167.1743103026867,3.386581457550206,21.765362305342983,12.068589255337402,1.4509078628940624,18
Tarragonès,2016,Olivera per a oliva d'oli,olive,olive,640.0,1.6,306.41261642920733,29.419460869042503,2.310758256697721,23.638120450449826,15.698440370351465,1.4880867012532135,8,328.34296789189347,23.99213616840628,2.5882605306523354,28.568952050952205,21.047392311257777,1.843450180140673,18,220.92864579683888,229.1080086513846,2.070269044772058,21.87331215494271,15.109812548999356,1.1200614229653567,7
