cohort,comarca,year,row_idx,yield_tha,lag_yield,vpd_preflower_mean,vpd_flowering_mean,vpd_pit_mean
arbequina,Garrigues,2019,48,0.84,0.83,1.6829074536819815,2.116589031183902,3.2788525051445707
arbequina,Garrigues,2020,49,0.91,0.84,1.542531214955294,1.835948517836816,3.3963311725045
arbequina,Garrigues,2021,50,0.83,0.91,1.6281929246966091,2.615496099418084,2.93532687642272
arbequina,Garrigues,2022,51,0.498,0.83,2.053203011368225,2.708929475001988,3.3444270437167822
arbequina,Garrigues,2023,52,0.725,0.498,1.830910680466984,1.6405403200839146,3.117503345484527
arbequina,Garrigues,2024,53,0.875,0.725,1.6446215045555872,2.300562037956326,3.5210653885399594
arbequina,Priorat,2016,54,1.5,1.419,1.4232243135221132,2.220844986348035,2.668200528700571
arbequina,Priorat,2017,55,1.315,1.5,1.5450959178969308,1.63988793619878,2.361987124622617
arbequina,Priorat,2018,56,0.845,1.315,1.257523044922802,1.7772783548053777,2.8187775471084158
arbequina,Priorat,2019,57,1.635,0.845,1.5884341810977183,1.9193201748743103,2.6942314234824485
arbequina,Priorat,2020,58,1.025,1.635,1.252632609374718,1.571370185763607,2.7156503633603495
arbequina,Priorat,2021,59,1.308,1.025,1.5151186961299905,2.5363405165893336,2.472168342264626
arbequina,Priorat,2022,60,0.338,1.308,1.709705255036551,2.1858826298895746,2.6981832179508385
arbequina,Priorat,2023,61,0.644,0.338,1.46874230489304,1.2300589206595138,2.3740066637061186
arbequina,Priorat,2024,62,0.337,0.644,1.5584847841015312,2.139053263392617,2.8936112450476283
arbequina,Segrià,2016,63,0.76,0.74,1.4760498355158829,2.3047958040127456,3.799692482496387
arbequina,Segrià,2017,64,0.89,0.76,1.80959129737083,2.779266110781613,3.407881358204049
arbequina,Segrià,2018,65,0.79,0.89,1.6636448449221037,1.665104855502544,3.772495997168647
arbequina,Segrià,2019,66,0.83,0.79,1.8537615918707242,2.390815827645892,3.7447329572642998
arbequina,Segrià,2020,67,0.9,0.83,1.4953340591656088,2.151922938659356,3.498780497354946
arbequina,Segrià,2021,68,0.84,0.9,1.6802386333322137,2.6821701510474547,3.667577819697724
arbequina,Segrià,2022,69,0.395,0.84,2.0339821145378103,3.370185315622564,3.2097666388640063
arbequina,Segrià,2023,70,0.701,0.395,2.0486598154804905,2.6178490153624834,3.4958612629134937
arbequina,Segrià,2024,71,0.695,0.701,1.9388508455541131,2.0609577546078413,3.1618360595495862
arbequina,Tarragonès,2016,72,1.6,2.442,1.0358015807048482,1.1408013259621528,2.003980982396207
arbequina,Tarragonès,2017,73,1.642,1.6,1.1135567419700432,1.7118700927574912,1.9704169650530166
arbequina,Tarragonès,2018,74,1.206,1.642,1.1280702374072495,1.3712122707503838,2.0930106585191037
arbequina,Tarragonès,2019,75,2.355,1.206,1.2326254577881177,1.4297073268782916,2.108015878266519
arbequina,Tarragonès,2020,76,1.737,2.355,0.8961643265152955,1.238961013891403,2.0143147195874196
arbequina,Tarragonès,2021,77,1.884,1.737,1.073427147567321,1.1741959385209657,1.8685178490637933
arbequina,Tarragonès,2022,78,0.338,1.884,1.226216387416452,1.7782231218513083,2.171262112910486
arbequina,Tarragonès,2023,79,2.182,0.338,1.193274898097979,1.5360307188995859,1.7727730019206547
arbequina,Tarragonès,2024,80,0.867,2.182,1.0706249709940956,1.2968253956038711,1.7154973960044204
arbequina,Urgell,2016,81,0.95,0.92,1.6549036205350875,2.6263570446751814,3.305799993077368
arbequina,Urgell,2017,82,0.97,0.95,1.7647143640970175,2.800344826702035,3.2608472487697364
arbequina,Urgell,2018,83,0.84,0.97,1.3786044599546907,1.595137168702919,3.466334856305619
arbequina,Urgell,2019,84,0.86,0.84,1.7984237654900914,2.507207057807057,3.24881051877395
arbequina,Urgell,2020,85,0.93,0.86,1.5026982459559912,2.1218307403615477,3.334130272112486
arbequina,Urgell,2021,86,0.93,0.93,1.7251611156314963,2.5449306759783723,3.029602441251204
arbequina,Urgell,2022,87,0.372,0.93,2.2709063628440394,2.691367114169656,3.642455291081618
arbequina,Urgell,2023,88,0.702,0.372,1.9874367398794743,1.6984656478278886,3.090445173542898
arbequina,Urgell,2024,89,0.65,0.702,1.5716200933669902,2.0719314063513856,3.667382818606231
