year,comarca,seca_ha,yield_tha,lag_yield,cohort
2021,Baix Penedès,1106.0,0.11699999999999999,0.1213333333333333,all_olive
2022,Baix Penedès,1037.0,-1.0179999999999998,-0.027666666666666728,all_olive
2023,Baix Penedès,764.0,0.732,-1.1626666666666665,all_olive
2024,Baix Penedès,755.0,-0.41100000000000003,0.5873333333333333,all_olive
2016,Conca de Barberà,793.0,0.4504444444444444,1.0965555555555557,all_olive
2017,Conca de Barberà,741.0,0.49244444444444424,0.25455555555555565,all_olive
2018,Conca de Barberà,751.0,0.2824444444444443,0.29655555555555546,all_olive
2019,Conca de Barberà,820.0,0.4504444444444444,0.0865555555555555,all_olive
2020,Conca de Barberà,877.0,-0.10455555555555573,0.25455555555555565,all_olive
2021,Conca de Barberà,868.0,0.1644444444444444,-0.3004444444444445,all_olive
2022,Conca de Barberà,861.0,-0.8115555555555556,-0.031444444444444386,all_olive
2023,Conca de Barberà,716.0,-0.4535555555555557,-1.0074444444444444,all_olive
2024,Conca de Barberà,749.0,-0.4705555555555556,-0.6494444444444445,all_olive
2016,Garrigues,16268.0,0.010222222222222133,-0.010333333333333194,all_olive
2017,Garrigues,15635.0,0.15022222222222215,0.01966666666666672,all_olive
2018,Garrigues,15314.0,0.02022222222222214,0.15966666666666673,all_olive
2019,Garrigues,14459.0,0.03022222222222215,0.02966666666666673,all_olive
2020,Garrigues,14229.0,0.10022222222222221,0.03966666666666674,all_olive
2021,Garrigues,14099.0,0.02022222222222214,0.1096666666666668,all_olive
2022,Garrigues,14295.0,-0.3117777777777778,0.02966666666666673,all_olive
2023,Garrigues,11124.0,-0.08477777777777784,-0.30233333333333323,all_olive
2024,Garrigues,10905.0,0.06522222222222218,-0.07533333333333325,all_olive
2016,Montsià,12950.0,0.1180000000000001,-0.36777777777777765,all_olive
2017,Montsià,13011.0,0.09299999999999997,0.04622222222222239,all_olive
2018,Montsià,13096.0,-0.42099999999999993,0.021222222222222253,all_olive
2019,Montsià,12961.0,-0.026999999999999913,-0.49277777777777765,all_olive
2020,Montsià,13235.0,0.45399999999999996,-0.09877777777777763,all_olive
2021,Montsià,14006.0,0.357,0.38222222222222224,all_olive
2022,Montsià,14436.0,-0.608,0.28522222222222227,all_olive
2023,Montsià,11882.0,0.976,-0.6797777777777777,all_olive
2024,Montsià,11982.0,-0.942,0.9042222222222223,all_olive
2016,Noguera,1579.0,0.03655555555555556,-0.014000000000000012,all_olive
2017,Noguera,1163.0,0.17655555555555558,0.015999999999999903,all_olive
2018,Noguera,1144.0,0.04655555555555557,0.15599999999999992,all_olive
2019,Noguera,1180.0,0.06655555555555559,0.025999999999999912,all_olive
2020,Noguera,1224.0,0.13655555555555554,0.04599999999999993,all_olive
2021,Noguera,1213.0,0.05655555555555558,0.11599999999999988,all_olive
2022,Noguera,1182.0,-0.2874444444444444,0.03599999999999992,all_olive
2023,Noguera,1150.0,-0.053444444444444406,-0.30800000000000005,all_olive
