cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
arbequina,Conca de Barberà,2016,207,0.1024444444444441,2.2654444444444444,2016,0
arbequina,Conca de Barberà,2017,208,1.1524444444444444,-0.2175555555555557,2017,1
arbequina,Conca de Barberà,2018,209,0.7104444444444442,0.8324444444444445,2018,2
arbequina,Conca de Barberà,2019,210,0.8024444444444443,0.3904444444444443,2019,3
arbequina,Conca de Barberà,2020,211,-0.7975555555555558,0.4824444444444444,2020,4
arbequina,Conca de Barberà,2021,212,0.462444444444444,-1.1175555555555556,2021,5
arbequina,Conca de Barberà,2022,213,-1.6225555555555558,0.1424444444444441,2022,6
arbequina,Conca de Barberà,2023,214,-0.5155555555555558,-1.942555555555556,2023,7
arbequina,Conca de Barberà,2024,215,-0.2945555555555557,-0.8355555555555556,2024,8
arbequina,Garrigues,2016,216,-0.379,-0.261222222222222,2016,0
arbequina,Garrigues,2017,217,0.1709999999999998,-0.1712222222222221,2017,1
arbequina,Garrigues,2018,218,-0.1589999999999998,0.3787777777777776,2018,2
arbequina,Garrigues,2019,219,-0.0790000000000001,0.048777777777778,2019,3
arbequina,Garrigues,2020,220,0.1709999999999998,0.1287777777777776,2020,4
arbequina,Garrigues,2021,221,-0.1080000000000001,0.3787777777777776,2021,5
arbequina,Garrigues,2022,222,-0.8690000000000002,0.0997777777777777,2022,6
arbequina,Garrigues,2023,223,-0.149,-0.6612222222222224,2023,7
arbequina,Garrigues,2024,224,1.4009999999999998,0.0587777777777778,2024,8
arbequina,Priorat,2016,225,-0.2206666666666668,0.5552222222222221,2016,0
arbequina,Priorat,2017,226,1.3293333333333337,-0.3827777777777781,2017,1
arbequina,Priorat,2018,227,0.0953333333333334,1.1672222222222222,2018,2
arbequina,Priorat,2019,228,1.2793333333333332,-0.0667777777777778,2019,3
arbequina,Priorat,2020,229,-0.5856666666666668,1.117222222222222,2020,4
arbequina,Priorat,2021,230,0.6393333333333331,-0.7477777777777781,2021,5
arbequina,Priorat,2022,231,-1.4456666666666669,0.4772222222222217,2022,6
arbequina,Priorat,2023,232,-0.3496666666666668,-1.607777777777778,2023,7
arbequina,Priorat,2024,233,-0.7416666666666667,-0.5117777777777781,2024,8
arbequina,Segrià,2016,234,-0.2384444444444442,-0.2134444444444447,2016,0
arbequina,Segrià,2017,235,0.3415555555555558,-0.1034444444444444,2017,1
arbequina,Segrià,2018,236,-0.3984444444444444,0.4765555555555556,2018,2
arbequina,Segrià,2019,237,-0.3184444444444443,-0.2634444444444446,2019,3
arbequina,Segrià,2020,238,-0.0284444444444442,-0.1834444444444445,2020,4
arbequina,Segrià,2021,239,-0.2834444444444441,0.1065555555555555,2021,5
arbequina,Segrià,2022,240,-1.2924444444444445,-0.1484444444444443,2022,6
arbequina,Segrià,2023,241,1.3515555555555556,-1.1574444444444447,2023,7
arbequina,Segrià,2024,242,0.8665555555555553,1.4865555555555554,2024,8
arbequina,Tarragonès,2016,243,0.3258888888888887,1.5095555555555555,2016,0
arbequina,Tarragonès,2017,244,0.3758888888888889,0.0265555555555554,2017,1
arbequina,Tarragonès,2018,245,-0.5411111111111113,0.0765555555555557,2018,2
arbequina,Tarragonès,2019,246,1.790888888888889,-0.8404444444444445,2019,3
arbequina,Tarragonès,2020,247,-0.3291111111111111,1.4915555555555555,2020,4
arbequina,Tarragonès,2021,248,0.8178888888888887,-0.6284444444444444,2021,5
arbequina,Tarragonès,2022,249,-2.399111111111111,0.5185555555555554,2022,6
arbequina,Tarragonès,2023,250,0.8438888888888889,-2.698444444444444,2023,7
