cohort,comarca,year,row_idx,yield_tha,lag_yield,tmax_preflower_mean,tmax_flowering_mean,tmax_pit_mean
arbequina,Baix Penedès,2024,35,1.14,2.283,17.50660185111655,20.28235840040804,27.504879593029024
arbequina,Conca de Barberà,2016,36,1.6,2.442,21.4277312867988,25.85156447167487,28.566198906181963
arbequina,Conca de Barberà,2017,37,1.642,1.6,21.580626931687636,27.074064862080697,29.31708365755263
arbequina,Conca de Barberà,2018,38,1.432,1.642,19.84693370782027,26.720256384244454,28.88320794193483
arbequina,Conca de Barberà,2019,39,1.6,1.432,21.217866589581835,28.205678397368075,28.796830812816534
arbequina,Conca de Barberà,2020,40,1.045,1.6,20.267855090664746,22.668193671838374,29.465999378246906
arbequina,Conca de Barberà,2021,41,1.314,1.045,22.487531758220033,25.686286270019046,28.422221516711488
arbequina,Conca de Barberà,2022,42,0.338,1.314,22.91884934664405,27.904429869654127,30.36708591107243
arbequina,Conca de Barberà,2023,43,0.696,0.338,19.947761521722395,22.548374049153335,28.782706490092963
arbequina,Conca de Barberà,2024,44,0.679,0.696,20.082490080970658,23.780225495909583,30.631513456453376
arbequina,Garrigues,2016,45,0.82,0.79,21.143233613441037,28.184874999403394,31.791913045725753
arbequina,Garrigues,2017,46,0.96,0.82,22.21124164033497,27.99163454817559,30.996354700970112
arbequina,Garrigues,2018,47,0.83,0.96,20.972458766495325,23.548175314676538,32.661467466231095
arbequina,Garrigues,2019,48,0.84,0.83,20.87665432207955,24.25941072797416,31.826350052323697
arbequina,Garrigues,2020,49,0.91,0.84,21.298534102222014,24.600139805514083,32.17462452442514
arbequina,Garrigues,2021,50,0.83,0.91,21.272328253171473,28.05608642796585,30.43600863055063
arbequina,Garrigues,2022,51,0.498,0.83,23.344779860756194,28.148013313690036,32.25576445655761
arbequina,Garrigues,2023,52,0.725,0.498,22.015204926665824,21.57970663658053,32.04534479127198
arbequina,Garrigues,2024,53,0.875,0.725,20.78026323273334,26.225942661083383,32.585528302498744
arbequina,Priorat,2016,54,1.5,1.419,20.32469804688124,26.273178038847345,30.070769442028343
arbequina,Priorat,2017,55,1.315,1.5,21.482163594419596,23.91773532473428,29.790998310562124
arbequina,Priorat,2018,56,0.845,1.315,20.16312121209156,24.55133599016208,31.3995186535541
arbequina,Priorat,2019,57,1.635,0.845,20.696338025792688,24.790943687958663,30.558427350416533
arbequina,Priorat,2020,58,1.025,1.635,20.02227878000868,22.92830989770076,30.393805088043017
arbequina,Priorat,2021,59,1.308,1.025,20.941020480323832,28.238731330969074,29.145844418824
arbequina,Priorat,2022,60,0.338,1.308,22.36651507033649,27.148010622733658,30.994603218054085
arbequina,Priorat,2023,61,0.644,0.338,20.53902047510546,21.49416575359927,29.774354714230604
arbequina,Priorat,2024,62,0.337,0.644,20.56784037459756,25.91657765965807,31.187681155543313
arbequina,Segrià,2016,63,0.76,0.74,20.698324072042567,26.471515205075683,33.84795181099796
arbequina,Segrià,2017,64,0.89,0.76,22.233395959109618,27.906548319851424,32.43812630211842
arbequina,Segrià,2018,65,0.79,0.89,22.107347751434045,24.700072956963744,33.84999598744632
arbequina,Segrià,2019,66,0.83,0.79,22.039636666105217,26.007353951450654,34.0632705838634
arbequina,Segrià,2020,67,0.9,0.83,20.974025367412242,25.65451947367609,32.84846119298575
arbequina,Segrià,2021,68,0.84,0.9,21.250288313471177,27.898913586474674,33.06712777904776
arbequina,Segrià,2022,69,0.395,0.84,23.28784446185305,30.63960948034627,31.400331242994394
arbequina,Segrià,2023,70,0.701,0.395,23.25662102611581,26.715029782165107,33.081803303539246
arbequina,Segrià,2024,71,0.695,0.701,22.24550200929124,24.203847281294294,31.702115739282767
arbequina,Tarragonès,2016,72,1.6,2.442,18.403107141337326,21.681271902235586,28.89569872210741
arbequina,Tarragonès,2017,73,1.642,1.6,19.076108021615855,24.464472167932506,28.813593843730573
arbequina,Tarragonès,2018,74,1.206,1.642,19.274696609419035,23.190776175347178,29.590310158870402
arbequina,Tarragonès,2019,75,2.355,1.206,19.093278964938733,22.26816481271162,29.969138033621952
arbequina,Tarragonès,2020,76,1.737,2.355,18.38552694413842,22.674894031379537,28.772815625363116
arbequina,Tarragonès,2021,77,1.884,1.737,18.70864425368155,22.157978254856545,28.196527264973113
arbequina,Tarragonès,2022,78,0.338,1.884,19.90173327199771,25.8609506435203,29.547980341017002
arbequina,Tarragonès,2023,79,2.182,0.338,19.78001489496919,22.50339057630736,28.990799213124284
arbequina,Tarragonès,2024,80,0.867,2.182,18.271923440736476,21.744023745377884,27.934048393136
arbequina,Urgell,2016,81,0.95,0.92,21.568549904172986,28.63754666338226,32.14618045247689
arbequina,Urgell,2017,82,0.97,0.95,22.147969199550737,28.758171782796683,32.30492227315446
arbequina,Urgell,2018,83,0.84,0.97,21.235490587465065,24.266024865225383,33.12713103939099
arbequina,Urgell,2019,84,0.86,0.84,21.793953137244966,26.38660370237464,32.194968645294324
arbequina,Urgell,2020,85,0.93,0.86,21.33581415577587,26.583903367639415,32.36020714865732
arbequina,Urgell,2021,86,0.93,0.93,22.417518121687444,28.178067788682903,30.76843773511463
arbequina,Urgell,2022,87,0.372,0.93,24.534701695088067,28.144578680611733,33.27650062573826
arbequina,Urgell,2023,88,0.702,0.372,23.01734394073915,22.082638033388786,32.37524011426126
arbequina,Urgell,2024,89,0.65,0.702,20.512700951116425,25.42509586803168,33.413266780078786
