doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
49,-0.00979301498143913,-0.011733900658074572,-0.015174090219705024,-0.009686011187836678,-0.017605596832185582,-0.00179902495791476
50,-4.925460676186555e-06,-0.00015759799538065945,-0.001569347250308754,-0.009474502429559828,-0.017226818694285048,-0.0017543169200391958
51,-0.0059033975583765875,-0.00717613469235331,-0.010287242707789837,-0.009264435477329887,-0.016878676837244047,-0.0017221296063761706
52,-0.0026435333102568397,-0.0029251543791360534,-0.004726009772062139,-0.009053941201067839,-0.016503997383016528,-0.00167819878177759
53,-0.0004931339032822943,-0.0005256686475050875,-0.0030314183296300274,-0.008858963305988541,-0.01613784969042013,-0.0016271177761217675
54,0.0028693549447992694,0.003438300410944691,0.0019337473967500369,-0.008663466498476735,-0.015768342936175066,-0.001584924238288307
55,0.0011968398357297748,0.0013019865822925746,-0.0009073755792558905,-0.008462694802390027,-0.015414205534503926,-0.0015429430336707337
56,0.0040198047332589415,0.0045333873786583415,0.0023566457521628417,-0.008280349177359606,-0.015070612273549269,-0.0014928960353681043
57,0.0059029895586545,0.006966986650934931,0.006036497187525184,-0.008097975635876567,-0.014713939297820918,-0.0014380189818418625
58,0.007688798518128672,0.009188292795356306,0.008653491980720844,-0.007917718136697328,-0.014399282454689775,-0.001390061125137709
59,0.005549355595717293,0.006813947098177448,0.00716963864489198,-0.007744859879728103,-0.014079142454872072,-0.001339134354577529
60,0.00318161687213022,0.004073799775597124,0.0044569670954638,-0.007566179460138718,-0.013772214737941255,-0.001292396843217532
61,0.008438730706067293,0.010156232857513301,0.010216913413066282,-0.007391090668712155,-0.013468072594374167,-0.0012394508678000996
62,0.0013414421762032538,0.0011796261440701174,-0.0023894049958859374,-0.0072245624711259285,-0.013170452808012049,-0.001201134650998061
63,0.003617529127210536,0.004176814513537274,0.002711001603752758,-0.00705479006641073,-0.012881533554892896,-0.001156345558465167
64,-0.0017322898512662946,-0.002289445504938905,-0.004417615440877832,-0.006881561432076279,-0.012600622450511221,-0.0011100659636006887
65,0.0034286250547268457,0.004420169027996207,0.006343242266902721,-0.0067137828705042275,-0.01233443952396181,-0.0010660418392446811
66,0.007543061131676993,0.009194502813703024,0.010935780692099753,-0.006559986309167235,-0.012061251814435306,-0.0010253606324579561
67,0.00894844735499767,0.01092327791343575,0.011998942690252118,-0.006415403795417225,-0.011801640622468764,-0.0009800603350084596
