doy,beta_wd_state,beta_vpd
213,-0.0002653888438323805,-0.0003889601172822668
214,-0.00027291259768189453,-0.0003822085403264509
215,-0.000280488427605817,-0.0003751978031655978
216,-0.0002881178196011725,-0.00036792305510054596
217,-0.0002958022596649862,-0.000360379445432134
218,-0.00030354323379428263,-0.0003525621234612009
219,-0.00031134222798608665,-0.00034446623848858514
220,-0.000319200728237423,-0.0003360869398151253
221,-0.0003271202205453167,-0.0003274193767416604
222,-0.00033510219090679226,-0.0003184586985690289
223,-0.00034314812531887495,-0.0003092000545980697
224,-0.000351259509778589,-0.0002996385941296213
225,-0.0003594378302829595,-0.00028976946646452217
226,-0.00036768457282901134,-0.0002795878209036115
227,-0.0003760012234137692,-0.0002690888067477278
228,-0.00038438926803425794,-0.00025826757329770956
229,-0.0003928501926875024,-0.00024711926985439574
230,-0.0004013854833705272,-0.0002356390457186249
231,-0.00040999662608035735,-0.0002238220501912358
232,-0.0004186851068140175,-0.00021166343257306714
233,-0.0004274524115685326,-0.00019915834216495743
234,-0.00043630002634092747,-0.00018630192826774557
235,-0.00044522943712822663,-0.00017308934018227015
236,-0.00045424212992745523,-0.00015951572720936992
237,-0.0004633395907356381,-0.00014557623864988362
238,-0.0004725233055497995,-0.00013126602380464982
239,-0.0004817947603669648,-0.0001165802319745073
240,-0.0004911554411841587,-0.00010151401246029459
241,-0.0005006068339984057,-8.606251456285057e-05
242,-0.000510150424806731,-7.022088758301383e-05
243,-0.0005197876996061592,-5.398428082162316e-05
244,-0.0005295201443937152,-3.734784357951717e-05
245,-0.0005393492451664237,-2.0306725157534652e-05
246,-0.0005492764879213095,-2.8560748565141896e-06
247,-0.0005593033586553975,1.5008958022705521e-05
248,-0.0005694313433657125,3.3293224179285766e-05
249,-0.0005796619280492792,5.2001574312387813e-05
250,-0.0005899965987031225,7.113885912117293e-05
251,-0.0006004368413242673,9.070992930480261e-05
252,-0.000610984141909738,0.00011071963556243796
253,-0.00062163998645656,0.00013117282859324055
254,-0.0006324058609617576,0.0001520743590963711
255,-0.0006432832514223557,0.00017342907777099153
256,-0.0006542736438353794,0.00019524183531626301
257,-0.0006653785241978533,0.0002175174824313467
258,-0.0006765993785068022,0.0002402608698154041
259,-0.0006879376927592508,0.0002634768481675961
260,-0.0006993949529522242,0.0002871702681870847
261,-0.000710972645082747,0.00031134598057303063
262,-0.0007226722551478438,0.00033600883602459525
263,-0.0007344952691445399,0.00036116368524094023
264,-0.0007464431730698597,0.0003868153789212264
265,-0.0007585174529208282,0.0004129687677646156
266,-0.0007707195946944701,0.0004396287024702687
267,-0.0007830510843878104,0.00046680003373734713
268,-0.0007955134079978736,0.0004944876122650123
269,-0.0008081080515216847,0.0005226962887524253
270,-0.0008208365009562686,0.0005514309138987477
271,-0.0008337002422986499,0.0005806963384031407
272,-0.0008467007615458536,0.0006104974129647657
273,-0.0008598395446949042,0.0006408389882827834
274,-0.0008731180777428269,0.0006717259150563561
275,-0.0008865378466866464,0.0007031630439846447
276,-0.0009001003375233871,0.0007351552257668101
277,-0.000913807036250074,0.0007677073111020137
278,-0.0009276594288637325,0.0008008241506894177
279,-0.0009416590013613866,0.0008345105952281823
280,-0.0009558072397400613,0.0008687714954174692
281,-0.0009701056299967818,0.00090361170195644
282,-0.0009845556581285725,0.0009390360655442558
283,-0.0009991588101324583,0.0009750494368800773
284,-0.0010139165720054642,0.0010116566666630669
285,-0.0010288304297446152,0.0010488626055923855
286,-0.001043901869346935,0.001086672104367194
287,-0.0010591323768094495,0.0011250900136866538
288,-0.0010745234381291833,0.001164121184249927
289,-0.001090076539303161,0.0012037704667561741
290,-0.0011057931663284073,0.0012440427119045562
291,-0.0011216748052019477,0.0012849427703942359
292,-0.001137722941920806,0.0013264754929243727
293,-0.0011539390624820077,0.0013686457301941293
294,-0.0011703246528825774,0.0014114583329026666
295,-0.0011868811991195395,0.0014549181517491453
296,-0.00120361018718992,0.001499030037432728
297,-0.0012205131030907424,0.001543798840652575
298,-0.001237591432819032,0.0015892294121078478
299,-0.0012548466623718136,0.0016353266024977076
300,-0.0012722802777461121,0.0016820952625213159
301,-0.0012898937649389525,0.0017295402428778345
302,-0.0013076886099473589,0.0017776663942664238
303,-0.001325666298768357,0.0018264785673862457
304,-0.001343828317398971,0.0018759816129364617
305,-0.0013621761518362258,0.0019261803816162319
306,-0.001380711288077146,0.0019770797241247186
307,-0.001399435212118757,0.002028684491161083
308,-0.0014183494099580835,0.002080999533424487
309,-0.0014374553675921492,0.00213402970161409
310,-0.001456754571017981,0.002187779846429056
311,-0.001476248506232602,0.0022422548185685445
312,-0.0014959386592330371,0.002297459468731716
313,-0.0015158265160163118,0.002353398647617734
314,-0.0015359135625794501,0.0024100772059257583
315,-0.001556201284919478,0.0024674999943549514
316,-0.0015766911690334195,0.0025256718636044733
317,-0.0015973847009182992,0.002584597664373486
318,-0.0016182833665711425,0.002644282247361151
319,-0.0016393886519889744,0.0027047304632666297
320,-0.0016607020431688186,0.002765947162789082
321,-0.0016822250261077005,0.0028279371966276707
322,-0.001703959086802645,0.002890705415481557
323,-0.0017259057112506773,0.002954256670049902
324,-0.0017480663854488212,0.003018595811031866
325,-0.0017704425953941022,0.0030837276891266113
326,-0.001793035827083545,0.0031496571550332993
327,-0.0018158475665141745,0.0032163890594510912
