cohort,comarca,year,row_idx,yield_tha,lag_yield,tmin_preflower_mean,tmin_flowering_mean,tmin_pit_mean
arbequina,Baix Penedès,2017,28,1.942,1.6,10.449998525267995,16.039310882442503,21.28573297004845
arbequina,Baix Penedès,2018,29,0.891,1.942,10.991498465918534,15.612982511449445,21.357880494551775
arbequina,Baix Penedès,2019,30,2.085,0.891,10.222895699782152,14.770598007395554,21.51070433385862
arbequina,Baix Penedès,2020,31,1.817,2.085,11.507633305796325,15.211638361010369,20.784311585906657
arbequina,Baix Penedès,2021,32,1.668,1.817,10.60362579321461,16.01733041262884,20.38022487818067
arbequina,Baix Penedès,2022,33,0.533,1.668,11.979994525638103,17.094154998674462,21.444870882977234
arbequina,Baix Penedès,2023,34,2.283,0.533,11.802249164934189,13.567329158820362,22.2534980726913
arbequina,Baix Penedès,2024,35,1.14,2.283,10.322535611093958,13.844208504861081,21.120488893834438
arbequina,Conca de Barberà,2016,36,1.6,2.442,11.175828100909824,14.727867784091748,17.572381998083422
arbequina,Conca de Barberà,2017,37,1.642,1.6,10.24217341026082,15.407793387209944,19.1278837604321
arbequina,Conca de Barberà,2018,38,1.432,1.642,11.323544610936228,15.214030761572747,19.031901329527066
arbequina,Conca de Barberà,2019,39,1.6,1.432,9.822866007867907,16.465027759873742,18.199265907092304
arbequina,Conca de Barberà,2020,40,1.045,1.6,11.130630425107432,13.351311898324052,18.686078625678068
arbequina,Conca de Barberà,2021,41,1.314,1.045,12.161751017066397,16.046911521075423,18.005641579297915
arbequina,Conca de Barberà,2022,42,0.338,1.314,12.02987157107704,16.325535244614258,19.327149136865213
arbequina,Conca de Barberà,2023,43,0.696,0.338,9.540179349750945,13.791656700775587,18.764773982394388
arbequina,Conca de Barberà,2024,44,0.679,0.696,10.869640991369772,15.113790805755968,19.588895543638394
arbequina,Garrigues,2016,45,0.82,0.79,9.868927886903325,16.073512755357644,18.70541966514616
arbequina,Garrigues,2017,46,0.96,0.82,9.22648219156698,15.204757107940367,19.279960271097917
arbequina,Garrigues,2018,47,0.83,0.96,10.991943418862935,14.490687571594396,19.38103033420591
arbequina,Garrigues,2019,48,0.84,0.83,9.19945694093104,12.655825338666592,18.881659795069634
arbequina,Garrigues,2020,49,0.91,0.84,11.100971972496465,14.167889420166883,19.245300898045915
arbequina,Garrigues,2021,50,0.83,0.91,10.624774697547714,16.154043366752635,18.55351753690729
arbequina,Garrigues,2022,51,0.498,0.83,11.627662308029887,14.973432557234759,19.233758931186564
arbequina,Garrigues,2023,52,0.725,0.498,10.279207209762955,11.261080844181404,20.78896347092978
arbequina,Garrigues,2024,53,0.875,0.725,9.78230874411634,13.78698609709912,20.182206040405124
arbequina,Priorat,2016,54,1.5,1.419,10.319046229474791,15.692818116478227,18.54076857555693
arbequina,Priorat,2017,55,1.315,1.5,10.101610089057765,14.32305887455611,19.657710090413758
arbequina,Priorat,2018,56,0.845,1.315,11.205937762199596,14.536671157927605,20.01438780491895
arbequina,Priorat,2019,57,1.635,0.845,9.370312855068953,14.176258497842449,19.31260217974032
arbequina,Priorat,2020,58,1.025,1.635,10.966633798821407,13.435342687762642,19.205135200541555
arbequina,Priorat,2021,59,1.308,1.025,10.813909681650731,16.912746018392898,18.764767594765654
arbequina,Priorat,2022,60,0.338,1.308,11.982403409374779,16.472678015287237,20.087607685631863
arbequina,Priorat,2023,61,0.644,0.338,10.223511104755698,13.062155534056995,20.53515749220599
arbequina,Priorat,2024,62,0.337,0.644,9.615235660251766,14.87229875445089,19.85894387910995
arbequina,Segrià,2016,63,0.76,0.74,9.983471878717564,13.956025777565639,20.116751496425252
arbequina,Segrià,2017,64,0.89,0.76,9.259043479648401,13.292858926255159,19.583718548943036
arbequina,Segrià,2018,65,0.79,0.89,9.820707551729097,15.031643310790676,20.324682325181435
arbequina,Segrià,2019,66,0.83,0.79,8.861344641896716,12.30816105308721,20.287290146176836
arbequina,Segrià,2020,67,0.9,0.83,10.577519473039663,13.282464922019702,19.642590710990586
arbequina,Segrià,2021,68,0.84,0.9,9.20333575349493,14.143781138925169,19.31217916242523
arbequina,Segrià,2022,69,0.395,0.84,10.863600925037026,16.716266845681815,18.823114824372002
arbequina,Segrià,2023,70,0.701,0.395,9.670527783563795,13.215931318337425,20.39253090770147
arbequina,Segrià,2024,71,0.695,0.701,9.337506987532192,13.196233753988125,19.860479970109964
arbequina,Tarragonès,2016,72,1.6,2.442,10.213464305179752,13.908919266732955,20.53992413899727
arbequina,Tarragonès,2017,73,1.642,1.6,10.001861038565615,15.04178156488743,20.701495071253717
arbequina,Tarragonès,2018,74,1.206,1.642,10.5984170186669,14.813577282741624,21.233532071190893
arbequina,Tarragonès,2019,75,2.355,1.206,9.307586115857992,13.249774594729567,21.742617256041846
arbequina,Tarragonès,2020,76,1.737,2.355,10.928072819034892,14.616114574707343,20.489648049761147
arbequina,Tarragonès,2021,77,1.884,1.737,10.105919070481155,15.169115621806151,20.382309001751842
arbequina,Tarragonès,2022,78,0.338,1.884,10.790720073922103,16.672426967280394,20.739488354476705
arbequina,Tarragonès,2023,79,2.182,0.338,11.210710887269212,13.538866742859998,21.763069469673187
