cohort,comarca,year,row_idx,yield_tha,lag_yield,wd_S_pre_mean,wd_S5_mean,wd_S6_mean,wd_S7_mean,wd_S8_mean
all_olive,Conca de Barberà,2021,77,0.1644444444444444,-0.3004444444444445,0.197407862349925,-1.4351953390652121,-4.154071178095681,-2.398923200161921,0.7893559339057121
all_olive,Conca de Barberà,2022,78,-0.8115555555555556,-0.0314444444444443,-0.5402798940912935,-1.0694365894394133,-4.159035224776183,-1.8460236184003336,-1.216399735172412
all_olive,Conca de Barberà,2023,79,-0.4535555555555557,-1.0074444444444444,-0.6782346405351247,-3.742676084004899,0.05614865142319833,-3.176132698295018,-1.617152751157326
all_olive,Conca de Barberà,2024,80,-0.4705555555555556,-0.6494444444444445,-0.34750823937881153,-1.1584351427074686,-3.2914426047142062,-1.879034677996402,2.1570053678804215
all_olive,Garrigues,2016,81,0.0102222222222221,-0.0103333333333331,-0.5293134150236657,-1.2756857047781076,-5.393751990061905,-3.820199335204205,1.2373280300877043
all_olive,Garrigues,2017,82,0.1502222222222221,0.0196666666666667,-0.18069985776218547,-2.418502016928955,-5.234695278865005,-4.049216586802435,-1.3890011029924068
all_olive,Garrigues,2018,83,0.0202222222222221,0.1596666666666667,0.3752012502821818,-1.175719953424747,-1.8775186828618484,-2.7884606578990114,3.0081881901086667
all_olive,Garrigues,2019,84,0.0302222222222221,0.0296666666666667,-1.3316976187258072,-3.1035911554368707,-4.534574384425606,-3.1111858863222577,-0.6946008835756591
all_olive,Garrigues,2020,85,0.1002222222222222,0.0396666666666667,-0.06351687111461854,0.4742037380333514,-3.493216852695932,-4.101775983654001,0.023973012527835298
all_olive,Garrigues,2021,86,0.0202222222222221,0.1096666666666668,-0.05674902766546544,-2.437344753753339,-4.8131548362000585,-3.2693187323081867,0.15973313340532883
all_olive,Garrigues,2022,87,-0.3117777777777778,0.0296666666666667,-0.8259155828278393,-1.5457764066366562,-5.676335756202775,-2.977537167191218,-1.3787074857760988
all_olive,Garrigues,2023,88,-0.0847777777777778,-0.3023333333333332,-0.85038947196552,-4.393574827247196,-1.5712692322830357,-4.088964353218621,-1.5137944693736258
all_olive,Garrigues,2024,89,0.0652222222222221,-0.0753333333333332,-0.41285603682923017,-2.636553241678238,-4.629995110175677,-2.7971988234544134,1.7489360575564206
all_olive,Montsià,2016,90,0.1180000000000001,-0.3677777777777776,-1.1870739444338239,-1.3573798402004056,-5.103315737373417,-3.2076942323332545,0.2496656128205357
all_olive,Montsià,2017,91,0.0929999999999999,0.0462222222222223,0.16659609469292178,-2.472146762914919,-3.9706488084048033,-3.7260507317752687,-1.869619959034026
all_olive,Montsià,2018,92,-0.4209999999999999,0.0212222222222222,-0.2231242989928859,-2.121266586668975,-1.8847111849203,-2.1433674973095678,3.1409864967156733
all_olive,Montsià,2019,93,-0.0269999999999999,-0.4927777777777776,-1.784898870834477,-2.8384509957464994,-3.9987524676890596,-2.721325953771908,-1.190551163163036
all_olive,Montsià,2020,94,0.4539999999999999,-0.0987777777777776,0.9299652440508417,1.7254148979314528,-2.71788629289007,-3.94074107510427,0.6640727642280538
all_olive,Montsià,2021,95,0.357,0.3822222222222222,-0.032899812729636116,-2.0398315701920966,-3.827213121516008,-1.8695829079915138,0.6245664746855341
all_olive,Montsià,2022,96,-0.608,0.2852222222222222,-1.042395636316896,0.7525371625852678,-4.415990635335801,-2.7001608046752312,-0.40365686728840755
all_olive,Montsià,2023,97,0.976,-0.6797777777777777,-1.1419280436012385,-4.088355026995551,-1.7539239011350132,-3.3325835334644642,-1.7809733309494773
all_olive,Montsià,2024,98,-0.942,0.9042222222222224,-0.7036202984813933,-2.9947801546763575,-4.0088533180632755,-2.205997665614756,10.373593336148634
all_olive,Noguera,2016,99,0.0365555555555555,-0.014,-0.14075983397171093,-0.4096415517917552,-4.808447670830148,-3.121662886266316,2.656098048293725
all_olive,Noguera,2017,100,0.1765555555555555,0.0159999999999999,0.36751913813925213,-1.5817286266878727,-4.849901341257574,-3.357048729602668,-1.079405002541056
all_olive,Noguera,2018,101,0.0465555555555555,0.1559999999999999,1.2043778780527452,-0.021442217452382662,-0.19467165160055902,-1.8912147264134012,3.7490254128912013
all_olive,Noguera,2019,102,0.0665555555555555,0.0259999999999999,-0.8421398395502608,-2.465354235921836,-4.123949960563192,-2.70893713879596,0.3997646794913519
all_olive,Noguera,2020,103,0.1365555555555555,0.0459999999999999,0.04896198139229766,0.5296755115379405,-1.3226107485424308,-3.082948477042461,1.693552517507197
all_olive,Noguera,2021,104,0.0565555555555555,0.1159999999999998,0.5124380282030403,-2.0324180329281427,-3.380746031440514,-2.7536790082098905,0.6593666425205881
all_olive,Noguera,2022,105,-0.2874444444444444,0.0359999999999999,-0.2836148993956481,-1.5427943890327582,-5.720540286247666,-2.333329604420449,-0.581342947812877
all_olive,Noguera,2023,106,-0.0534444444444444,-0.308,-0.46686245466522414,-3.98282861832503,-1.0918473016050527,-2.70351551495393,-0.6025317509840697
all_olive,Noguera,2024,107,-0.1784444444444444,-0.074,0.16254409109611614,-1.4677125477910224,-2.8123794670279767,-1.6381182636117995,1.063607142299861
