doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
94,0.00027411946900851635,0.0011564781110429256,0.002780802683771569,-0.003684363403226039,-0.006158793439846127,-7.073318905656457e-05
95,-0.004074262008290753,-0.0045694162984378115,-0.002241098498394355,-0.003596777720703317,-0.006026456872451183,7.181782562923959e-06
96,7.784356151538591e-05,0.0018711132994758566,0.0064760467142336445,-0.003509706520189582,-0.005901396760955045,6.349357301272163e-05
97,-0.004971766653083671,-0.005547496715987021,-0.005648565718534336,-0.003423279185432188,-0.005784358373054248,0.00012614032217867632
98,-0.006581258327482659,-0.008091995184467534,-0.010671898916199544,-0.003343485630167626,-0.005677036697887986,0.00018755617293028968
99,-0.005719116414674072,-0.007886839412124461,-0.013763560885160581,-0.0032706999596382974,-0.005553594121381812,0.00023404642983032695
100,0.001558554646236284,0.0028558443623607917,0.0015689896285518109,-0.0031949144599438283,-0.00544589081346253,0.0002867027734080702
101,0.003184491807107018,0.005902790890970644,0.008487067559404688,-0.0031217226959343912,-0.005339242770558397,0.0003324616721908634
102,0.004246642666501462,0.006738506316707063,0.008645795399558563,-0.0030512455565221163,-0.005236555731440058,0.0003813747336099192
103,0.006372077375268862,0.009809543369922192,0.011159794803524267,-0.002976922012197073,-0.005145904580818176,0.0004325876134831292
104,-0.001296092901255534,-0.0005333651317597569,-0.002000422292665577,-0.0029098886958065736,-0.005047120522479131,0.0004732689772729311
105,-0.01337374059392592,-0.018463530760567583,-0.026060143565823406,-0.0028424594553039762,-0.004950012148609272,0.0005012506873741003
106,-0.008246525749877035,-0.010381152179686551,-0.013396926077270641,-0.0027752834207314054,-0.004858080861513047,0.0005375470708865009
107,-0.007421537846814837,-0.009151934542959024,-0.011203369818374543,-0.002708303828782765,-0.0047692346111195385,0.0005796180239588744
108,-0.005220220626458797,-0.006365219925932029,-0.00815050486085418,-0.0026488157689841052,-0.00468703017467975,0.0006143688402011324
